horizon,mse,rmse,mae,mape,mdape,coverage
512 days,46912664.947293855,6849.282075319563,5742.252161732329,0.5040508852769331,0.34182567922636653,0.9783126705114478
519 days,47631357.256667614,6901.547453772061,5781.654106285419,0.5021774080491104,0.34130227236606814,0.9746175363469974
526 days,47709919.476807535,6907.236746833536,5789.026694381969,0.501684282472544,0.34130227236606814,0.9737096426928474
533 days,47715945.701230995,6907.672958473859,5790.71462715683,0.5003577475473163,0.34182567922636653,0.9733397796733088
540 days,46823400.09428178,6842.762606892174,5757.923033013421,0.5009709325140165,0.34318875170461305,0.9773920547154424
547 days,47152959.03113283,6866.801222631454,5780.365509715022,0.49777139223917216,0.34201440150139045,0.9745726507205023
554 days,47265335.680240124,6874.978958530719,5797.929679846719,0.4982712097360901,0.34201440150139045,0.9749809530265607
561 days,47612139.64762775,6900.15504518759,5829.198257584092,0.500351253147054,0.34674552866411273,0.9748836269359803
568 days,48016100.04063863,6929.3650532093225,5856.859495192847,0.49956560998620736,0.34648989158542387,0.9735469834582312
575 days,48026845.462935805,6930.140363869682,5867.092197529043,0.49859278309879546,0.34674552866411273,0.9722866216701903
582 days,47833521.54209593,6916.1782468423935,5850.020756841247,0.4975652387026371,0.34674552866411273,0.9719453578891136
589 days,47279194.09414348,6875.986772394453,5814.076578642703,0.497322043751616,0.3482910540583903,0.9737551252026739
596 days,46643197.43158967,6829.582522496501,5775.5586795284435,0.4967019314007917,0.35035593506058915,0.9746213564003161
603 days,46201535.980228126,6797.171174851206,5750.344605829784,0.49741725528679087,0.3528747260508108,0.9751666860653749
610 days,46438632.885341175,6814.5897077770705,5755.849356527672,0.49655181157670353,0.35099140809374807,0.971392388117417
617 days,45973596.34044649,6780.383200118301,5728.819488074968,0.4980237637570109,0.35354640418530475,0.9735789764047755
624 days,45947210.88518545,6778.4372007997135,5717.8394673594075,0.4965132461632514,0.35354640418530475,0.9714926815708436
631 days,46102647.297753364,6789.893025501459,5722.6989667775015,0.49712005124520586,0.35354640418530475,0.9684050723145472
638 days,46984748.34641154,6854.54216898631,5760.911127143399,0.4951714524948424,0.35035593506058915,0.9639707237253022
645 days,47280901.15355834,6876.110903232899,5773.691235537945,0.497061713405906,0.35035593506058915,0.9641928666473107
652 days,47533259.034564145,6894.436817794775,5792.194330100663,0.5027417602621679,0.35071021299632565,0.9645168208117869
659 days,52268703.75265318,7229.709797263869,5981.6884483176655,0.5010591082029933,0.3545826463277781,0.9537317870644297
666 days,52914297.60540641,7274.221443247821,6021.587530678634,0.5074636750046942,0.3545826463277781,0.9538112066550786
673 days,55055873.14649278,7419.964497657167,6137.855274448365,0.5150668050044769,0.3553872321695013,0.9483686709582577
680 days,58253633.37498913,7632.406787834957,6310.999306490625,0.5252018376958931,0.35621717225255894,0.9390551081062299
687 days,67442942.78391689,8212.365236880109,6660.390348322381,0.530917863438024,0.36124558378249105,0.9239808195805019
694 days,68735868.19280869,8290.709752054325,6751.33029389498,0.5463600196129321,0.35988040368921254,0.9245643327249387
701 days,68805444.07929352,8294.904705859708,6757.756922391359,0.5447245118552623,0.36124558378249105,0.9249024586050751
708 days,68197723.0921526,8258.191272436876,6705.630664498564,0.5397523233214826,0.3622011932557763,0.9264990874080212
715 days,67785057.05032845,8233.168105312101,6660.964849073156,0.5344291712450553,0.3602477770947774,0.9256865586563645
722 days,66993145.9215661,8184.934081687286,6620.43616600008,0.5365656714755838,0.3622011932557763,0.9290579944634806
729 days,66986123.66574546,8184.505095956961,6625.378313343107,0.537502029422277,0.3628111793292696,0.9304289160982417
736 days,67327679.01081926,8205.344539433994,6643.440782453852,0.5387087703607811,0.3628111793292696,0.9305257305745387
743 days,67627265.18679455,8223.579827957807,6652.679357414328,0.5375881400020297,0.3622011932557763,0.9276486335421998
750 days,67301179.90741698,8203.729633978499,6628.819256819387,0.5343273883141555,0.3628111793292696,0.9277658955360373
757 days,63889478.72009607,7993.089435261942,6480.103132206937,0.532651695688373,0.3607960823693825,0.9341709823463227
764 days,62092736.86488617,7879.894470415588,6389.9348134546535,0.5262236486698282,0.3602477770947774,0.9355289089782766
771 days,60678686.91232012,7789.652554018063,6298.466141938321,0.5165973966191579,0.3579837561644869,0.9381445028963763
778 days,57614349.19783377,7590.41166194784,6131.409526441966,0.5068981678514622,0.3563295741982291,0.9471279210510943
785 days,50404426.91520922,7099.607518392071,5849.453291209811,0.5012861715977842,0.352624044257623,0.9605146328080333
792 days,48888760.54465891,6992.049809938349,5780.9002759197965,0.4873201879380353,0.352624044257623,0.9583349854211244
799 days,49030758.76984685,7002.196710307905,5792.8911837955175,0.48466829236113773,0.3480181743478654,0.9584936540643277
806 days,49325712.29583157,7023.226629963721,5821.79593649716,0.4893987321412226,0.3450664062645889,0.9584802497700933
813 days,49518200.28343171,7036.916958685224,5858.255558943805,0.4958010233200037,0.3497350403485012,0.9597582622509236
820 days,50353949.68327073,7096.051696772701,5906.617254656052,0.4939150671362159,0.352624044257623,0.9576510082851669
827 days,50615607.6596396,7114.464678360529,5918.173267732301,0.4918075206447754,0.3497350403485012,0.9570922743258735
834 days,50213158.100455135,7086.1243356615705,5898.559556141359,0.49084051626568687,0.3480181743478654,0.9589160428169993
841 days,49789981.6673405,7056.20164588148,5886.1956663737565,0.491535981017914,0.352624044257623,0.9617206782129483
848 days,49900842.20597515,7064.0528173262655,5898.326393154441,0.4907809315698688,0.35371704525764397,0.9618647487952549
855 days,50244344.728879824,7088.324536086072,5917.09893941733,0.48909639909807,0.35320221255373624,0.9605836836825313
862 days,50266825.667071424,7089.9101310997885,5927.107268087465,0.48893394593885864,0.35371704525764397,0.9605043493609298
869 days,50018241.65450568,7072.357573999329,5923.7870890704235,0.4904183950460877,0.35371704525764397,0.9626003989738724
876 days,50080903.215131916,7076.78622081605,5932.392090082944,0.4914879788757631,0.3549311524813877,0.9635635299168585
883 days,51019027.551402,7142.760499372915,5981.7175153785865,0.489917484641099,0.3577427701812585,0.9611152679771663
890 days,49582077.66037928,7041.454229090698,5918.583090092702,0.4905722681815974,0.3553884752913068,0.9656855524816065
897 days,48952714.88964817,6996.621676898657,5886.391654838917,0.49034986914141104,0.35541111481612775,0.9662430926742377
904 days,48668286.13647542,6976.265916410829,5875.469083938986,0.490226453099274,0.35541111481612775,0.9664989168699267
911 days,49105658.672719695,7007.542984007996,5905.33839758488,0.48877040668942745,0.3553884752913068,0.9653799993775358
918 days,49272927.66712017,7019.467762382001,5926.150377405891,0.4904945446126638,0.3553884752913068,0.9648865985622787
925 days,49424639.942065336,7030.2659936922255,5948.212754702068,0.4938273909476693,0.3553884752913068,0.9659225322178436
932 days,49311740.82875371,7022.2318979619085,5955.938867270499,0.49539306973508945,0.3553884752913068,0.9679564718567376
939 days,48965430.65321364,6997.53032528003,5942.08630315508,0.49552770867605883,0.3549311524813877,0.9704707490928439
946 days,48720185.51418318,6979.984635669564,5926.316068255904,0.494164365599424,0.3549311524813877,0.9719143881711368
953 days,47776778.439858906,6912.074828867155,5868.450061210279,0.4932221270977526,0.35214316253373545,0.9738242784000285
960 days,47159456.370247304,6867.274304281671,5826.43881368863,0.4926902314204698,0.3525667672773579,0.9749498980395366
967 days,46624376.39621849,6828.204478207906,5788.754992748093,0.49273998221107435,0.3517632113625408,0.975601967497997
974 days,46809767.23191251,6841.766382441928,5792.0170774921335,0.49168940048926624,0.35214316253373545,0.973353780850874
981 days,46016663.82358162,6783.558345262582,5749.298668347153,0.49232795700084236,0.35101936762101366,0.9741627453563543
988 days,45734116.97872669,6762.7004205958065,5731.696667169224,0.4925122052759602,0.3517632113625408,0.9741758938434468
995 days,45767387.6195363,6765.159836954062,5732.602904944765,0.49291162403548877,0.351827000572862,0.9736234356860342
