SplitNumber,Transformer,Encoder,Model,Split,R2,MAE,MAPE,MSE,RMSE
0,RobustScaler,HelmertEncoder,LinearRegression,Train,0.5905433497612445,3616.313905169578,0.25769492559292756,21932434.95981096,4683.207763895486
0,RobustScaler,HelmertEncoder,LinearRegression,Test,0.6173476540481877,3549.2398059749735,0.25683905998697704,19768957.996885125,4446.229638343607
0,RobustScaler,HelmertEncoder,DecisionTreeRegressor,Train,0.9999817009253373,0.8597630839240288,0.00010424572357330453,980.1849954828107,31.307906277533327
0,RobustScaler,HelmertEncoder,DecisionTreeRegressor,Test,0.8649988461661439,1428.245213502239,0.09510422389581297,6974561.028847365,2640.9394216542273
0,RobustScaler,HelmertEncoder,RandomForestRegressor,Train,0.9880536353947564,445.1552820460422,0.02865435385120971,639903.7958179731,799.9398701264821
0,RobustScaler,HelmertEncoder,RandomForestRegressor,Test,0.925991437305219,1151.7970391370172,0.07635151061756128,3823502.4110036716,1955.3778179686071
0,RobustScaler,HelmertEncoder,SVR,Train,0.0011832237459172834,5735.243399500357,0.4370753989285273,53501351.044578165,7314.461774086878
0,RobustScaler,HelmertEncoder,SVR,Test,-0.0008999322522058595,5751.454223332647,0.44478648434351564,51709466.645399295,7190.929470200587
0,RobustScaler,SumEncoder,LinearRegression,Train,0.5905433497612445,3616.313905169578,0.25769492559292756,21932434.95981096,4683.207763895486
0,RobustScaler,SumEncoder,LinearRegression,Test,0.6173476540481877,3549.2398059749735,0.25683905998697704,19768957.996885125,4446.229638343607
0,RobustScaler,SumEncoder,DecisionTreeRegressor,Train,0.9999817009253373,0.8597630839240288,0.00010424572357330453,980.1849954828107,31.307906277533327
0,RobustScaler,SumEncoder,DecisionTreeRegressor,Test,0.8703617604607898,1405.6979503228222,0.09343323654914072,6697496.929924781,2587.9522657740004
0,RobustScaler,SumEncoder,RandomForestRegressor,Train,0.9877909209291525,447.6155918419054,0.02893716528840062,653976.0252627727,808.6878416686952
0,RobustScaler,SumEncoder,RandomForestRegressor,Test,0.9273650360114769,1140.6289618096757,0.07594817317637453,3752538.217484766,1937.1469271804774
0,RobustScaler,SumEncoder,SVR,Train,0.0011832237459172834,5735.243399500357,0.4370753989285273,53501351.044578165,7314.461774086878
0,RobustScaler,SumEncoder,SVR,Test,-0.0008999322522058595,5751.454223332647,0.44478648434351564,51709466.645399295,7190.929470200587
1,StandardScaler,OneHotEncoder,LinearRegression,Train,0.5986062639719784,3603.6341264209223,0.2569861567079355,21446061.73537113,4630.989282580033
1,StandardScaler,OneHotEncoder,LinearRegression,Test,0.5835295011863906,3583.534198572095,0.259534926581643,21724845.62177477,4660.991913935784
1,StandardScaler,OneHotEncoder,DecisionTreeRegressor,Train,1.0,0.0,0.0,0.0,0.0
1,StandardScaler,OneHotEncoder,DecisionTreeRegressor,Test,0.8305550369213064,1578.1035990168098,0.0998248798930657,8838959.00131799,2973.0386814365515
1,StandardScaler,OneHotEncoder,RandomForestRegressor,Train,0.9888257894586612,434.2523448429999,0.02845912603157955,597026.7784568954,772.6750794848346
1,StandardScaler,OneHotEncoder,RandomForestRegressor,Test,0.899021598014953,1218.9546604069667,0.078537318669504,5267456.39969199,2295.0939849365623
1,StandardScaler,OneHotEncoder,SVR,Train,0.020965629049322865,5695.103818378742,0.43493996323998585,52308817.19338212,7232.483473426131
1,StandardScaler,OneHotEncoder,SVR,Test,0.03063705768404268,5590.425859055794,0.43921702415969394,50566031.28738913,7110.979629234577
1,StandardScaler,HelmertEncoder,LinearRegression,Train,0.5986062639719784,3603.6341264209223,0.2569861567079355,21446061.73537113,4630.989282580033
1,StandardScaler,HelmertEncoder,LinearRegression,Test,0.5835295011863906,3583.534198572095,0.259534926581643,21724845.62177477,4660.991913935784
1,StandardScaler,HelmertEncoder,DecisionTreeRegressor,Train,1.0,0.0,0.0,0.0,0.0
1,StandardScaler,HelmertEncoder,DecisionTreeRegressor,Test,0.8170772968084222,1618.9007213232917,0.10157037003178525,9542014.377669748,3089.01511450976
1,StandardScaler,HelmertEncoder,RandomForestRegressor,Train,0.9889664797345025,435.6828524717856,0.028449549949088927,589509.839176487,767.7954409714133
1,StandardScaler,HelmertEncoder,RandomForestRegressor,Test,0.8992774423772999,1219.2933915285832,0.07870842171926168,5254110.486137434,2292.184653586494
1,StandardScaler,HelmertEncoder,SVR,Train,0.020965629049322865,5695.103818378742,0.43493996323998585,52308817.19338212,7232.483473426131
1,StandardScaler,HelmertEncoder,SVR,Test,0.03063705768404268,5590.425859055794,0.43921702415969394,50566031.28738913,7110.979629234577
