Transformer,Encoder,Model,Split,R2,MAE,MAPE,MSE,RMSE
MinMaxScaler,OneHotEncoder,SVR,Train,0.04328866774638866,5597.581577206493,0.4283818205759783,50879945.19101719,7132.916529984944
MinMaxScaler,SumEncoder,DecisionTreeRegressor,Test,0.8436821462939921,1529.0224312055482,0.09838464895507217,8289837.141476586,2871.305926460418
MinMaxScaler,SumEncoder,DecisionTreeRegressor,Train,0.9999888768560856,0.5158578503544173,6.254743414398271e-05,588.1109972896863,18.784743766519995
MinMaxScaler,SumEncoder,LinearRegression,Test,0.5951593825096935,3602.618003647514,0.2574490979465624,21524180.995038036,4637.110819989772
MinMaxScaler,SumEncoder,LinearRegression,Train,0.5958075121796158,3600.6732246613037,0.2573392651477221,21496522.565163903,4636.286634160327
MinMaxScaler,SumEncoder,RandomForestRegressor,Test,0.9131114024397535,1195.2388359002227,0.07822818927690896,4611632.509367377,2139.929449793891
MinMaxScaler,SumEncoder,RandomForestRegressor,Train,0.9883494485138847,437.81470977819197,0.028642762511698044,619646.1880860974,786.847941420638
MinMaxScaler,SumEncoder,SVR,Test,0.04232318733138294,5599.796716459357,0.42852239146265275,50910162.55992539,7132.865490751234
MinMaxScaler,SumEncoder,SVR,Train,0.04328866774638866,5597.581577206493,0.4283818205759783,50879945.19101719,7132.916529984944
RobustScaler,HelmertEncoder,DecisionTreeRegressor,Test,0.84305811643171,1542.1056881119734,0.09911983348024558,8342055.796391892,2882.0418787710323
RobustScaler,HelmertEncoder,DecisionTreeRegressor,Train,0.9999888768560856,0.5158578503544173,6.254743414398271e-05,588.1109972896863,18.784743766519995
RobustScaler,HelmertEncoder,LinearRegression,Test,0.5951593825096935,3602.618003647515,0.25744909794656234,21524180.995038033,4637.11081998977
RobustScaler,HelmertEncoder,LinearRegression,Train,0.5958075121796158,3600.673224661304,0.25733926514772215,21496522.565163903,4636.286634160327
RobustScaler,HelmertEncoder,RandomForestRegressor,Test,0.9109885074686526,1203.171954914676,0.07849474668244091,4724776.592700912,2165.974180534494
RobustScaler,HelmertEncoder,RandomForestRegressor,Train,0.9882156234337998,439.8712378080366,0.028681499701301738,626788.8228945823,791.4396952587365
RobustScaler,HelmertEncoder,SVR,Test,0.0025682061668743207,5739.821843928158,0.4402646894927714,53019888.255948104,7279.288683039436
RobustScaler,HelmertEncoder,SVR,Train,0.0036229430945915464,5737.417959479374,0.44010564727359797,52989698.6738026,7279.292667319077
RobustScaler,OneHotEncoder,DecisionTreeRegressor,Test,0.8392047874133113,1553.359493117984,0.09949673236504794,8537142.008664899,2913.2591400542306
RobustScaler,OneHotEncoder,DecisionTreeRegressor,Train,0.9999888768560856,0.5158578503544173,6.254743414398271e-05,588.1109972896863,18.784743766519995
RobustScaler,OneHotEncoder,LinearRegression,Test,0.5951593825096935,3602.618003647515,0.25744909794656234,21524180.995038033,4637.11081998977
RobustScaler,OneHotEncoder,LinearRegression,Train,0.5958075121796158,3600.673224661304,0.25733926514772215,21496522.565163903,4636.286634160327
RobustScaler,OneHotEncoder,RandomForestRegressor,Test,0.912000945115973,1199.3712499282115,0.07828782043168135,4671624.146258415,2153.2068751155516
RobustScaler,OneHotEncoder,RandomForestRegressor,Train,0.9882964301138216,439.12048938877695,0.02867981310294822,622537.8529493862,788.7706452503065
RobustScaler,OneHotEncoder,SVR,Test,0.0025682061668743207,5739.821843928158,0.4402646894927714,53019888.255948104,7279.288683039436
RobustScaler,OneHotEncoder,SVR,Train,0.0036229430945915464,5737.417959479374,0.44010564727359797,52989698.6738026,7279.292667319077
RobustScaler,SumEncoder,DecisionTreeRegressor,Test,0.8446272358517131,1528.9353004864352,0.0983392365291899,8246448.126192132,2862.421703629713
