split_index,n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split,Split,R2,MAE,MAPE,MSE,RMSE
0,100,3,log2,5,10,Train,0.5871099068864387,3522.008429365875,0.28707708918004393,22116346.400731485,4702.801973369864
0,100,3,log2,5,10,Test,0.6056557293787804,3456.9489424373555,0.28804904856055735,20372997.590886116,4513.645709499818
0,100,3,log2,10,2,Train,0.5957512674320866,3483.4251110060986,0.28111100998078864,21653474.25536229,4653.329373186718
0,100,3,log2,10,2,Test,0.6157987324866128,3416.7839528050054,0.281597427876189,19848979.89042685,4455.2193986858665
0,100,3,log2,10,5,Train,0.5991184937857799,3468.014836187958,0.28067973091694665,21473109.684523653,4633.9086832309995
0,100,3,log2,10,5,Test,0.6177071333620554,3406.195743630743,0.2818031749047689,19750386.22663001,4444.140662336196
0,100,3,log2,10,10,Train,0.598466875395723,3460.6520584254154,0.2789168288994876,21508013.447718624,4637.673279535615
0,100,3,log2,10,10,Test,0.6182622566099504,3405.9084627966818,0.2802395290051874,19721706.909001805,4440.912846364113
0,100,3,log2,15,2,Train,0.5847871927960151,3526.406725091731,0.2878654152025489,22240761.954096537,4716.011233457416
0,100,3,log2,15,2,Test,0.6040599242113248,3463.786695857622,0.2892999731972587,20455441.630914595,4522.769243606686
0,100,3,log2,15,5,Train,0.5856585459595893,3539.787584771154,0.2882976801808229,22194088.15706338,4711.060194591381
0,100,3,log2,15,5,Test,0.6054737146879705,3468.5526654187956,0.2886987295680087,20382401.011028457,4514.687255063019
0,100,3,log2,15,10,Train,0.5940493258976528,3501.9946311536733,0.28371561001321055,21744638.294309035,4663.114655925698
0,100,3,log2,15,10,Test,0.6138496785134733,3425.6142232051725,0.28399346874414333,19949673.814131446,4466.505772315922
0,100,5,auto,3,2,Train,0.8339619989316105,2023.1768381076536,0.138205181903842,8893780.714432253,2982.2442412438745
0,100,5,auto,3,2,Test,0.8423133331718837,2061.7031290201976,0.14247523871283105,8146562.084807953,2854.218296628335
