n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split,Split,R2,MAE,MAPE,MSE,RMSE
100,3,sqrt,10,2,Test,0.5857253016949043,3533.939809880486,0.28803187037114236,22032681.634006847,4691.331421466597
100,3,sqrt,10,2,Train,0.5899220972174792,3518.9904753240094,0.28655861331019583,21810063.28591267,4669.2886030801965
100,3,sqrt,10,5,Test,0.5902860224753717,3515.969599213861,0.28558752388744374,21779903.506593823,4664.997937582309
100,3,sqrt,10,5,Train,0.5927786017362165,3506.7177046385536,0.28506074382091595,21661271.33735183,4653.085415464344
100,3,sqrt,10,10,Test,0.5924213710290822,3505.1485364591003,0.2845371782250036,21673768.476541154,4653.2293531693795
100,3,sqrt,10,10,Train,0.59656000734684,3485.154099942249,0.28296071137917284,21457542.269858398,4631.74640631031
100,3,sqrt,15,2,Test,0.5953557367098004,3490.6494490210343,0.2830643703408653,21501595.33724397,4635.379904451955
100,3,sqrt,15,2,Train,0.5992010256629341,3474.894469751708,0.28175647688594896,21320597.030158527,4616.805588568366
100,3,sqrt,15,5,Test,0.5897675020853783,3516.6374943893534,0.2863891326552858,21808480.175380673,4668.511511834751
100,3,sqrt,15,5,Train,0.5929641683592674,3502.184695057128,0.2849682691713466,21650119.155347463,4652.087854774206
100,3,sqrt,15,10,Test,0.5780636455080486,3569.911654932067,0.29230948454081834,22420562.984527268,4733.611375449533
100,3,sqrt,15,10,Train,0.5816545606914525,3559.4254433913093,0.29137413139670904,22254787.00380989,4716.610962046937
100,5,auto,3,2,Test,0.830600801639666,2041.6969013296468,0.1402188992670761,9012201.66463757,2998.790347351774
100,5,auto,3,2,Train,0.8382727588910986,1999.036233765171,0.1378234222413241,8600432.114533018,2932.538160901932
100,5,auto,3,5,Test,0.8302954367618562,2039.8125141732842,0.14000047777182728,9029098.230285866,3001.409508665056
100,5,auto,3,5,Train,0.8389167960872331,1989.6626029586394,0.13720424670615744,8566007.249356378,2926.7180533820147
100,5,auto,3,10,Test,0.8313322912638312,2039.42727517251,0.14035118503688518,8976447.868556987,2992.297494250743
100,5,auto,3,10,Train,0.8401532943716529,1990.127410889697,0.13759603403192197,8499566.128038332,2915.1922422472294
100,5,auto,5,2,Test,0.8292950153998835,2045.0556164371847,0.1402707112079091,9084679.162883144,3010.3047279269254
100,5,auto,5,2,Train,0.8371801335271346,2003.4809974912478,0.1379302153977866,8657743.525673945,2942.365649707345
100,5,auto,5,5,Test,0.8275333944279291,2064.749094354905,0.14174480821512556,9175004.287299361,3025.596292022474
100,5,auto,5,5,Train,0.83561628455093,2020.666411876283,0.139282774183933,8741776.233126108,2956.570034011808
100,5,auto,5,10,Test,0.830622585070449,2034.8806078623334,0.1399620396601963,9009914.424992867,2998.146835248227
100,5,auto,5,10,Train,0.8387973326564218,1992.4238447416446,0.13754894679383387,8572612.68241493,2927.7614034252665
