P,Q,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
6,8,6.656956072178098,54419.19096497572,44.31530208874247,3.8705918784849724,0.014607526842647578,0.9947996456555823,-4681.740103380504,-4748.210950793696
6,9,6.654841395077047,54385.167162622885,44.287595409302014,3.867734205593946,0.014592091086912303,0.9948028970054325,-4688.947512735436,-4775.870928583457
6,10,6.677210702176688,54752.05100688839,44.58636075479512,3.893039902906855,0.014684499784207076,0.9947678372046601,-4691.174509302472,-4762.758498824372
7,1,6.592874926359673,53381.05827348296,43.46991716081675,3.847159733626183,0.014520234284385128,0.9948988506925658,-4661.212394899535,-4736.205145827238
7,2,6.640883554321343,54156.50310378498,44.10138689233304,3.8635186666676296,0.014574630072267492,0.9948247483801166,-4686.808307084831,-4781.401436095912
7,3,6.666779904831263,54579.63187973928,44.445954299461974,3.8695970224182084,0.014586530623910337,0.9947843137553223,-4699.36839946527,-4801.631241639412
7,4,6.643012837585316,54191.17282007704,44.12961956032331,3.874218900093126,0.014624604768520339,0.9948214353060605,-4674.597116496613,-4735.954821801098
7,5,6.641449187518854,54165.66449716488,44.10884731039484,3.872672828345714,0.014612925952562646,0.994823872907861,-4676.018948622941,-4742.489796036133
7,6,6.677275377728203,54751.67472604788,44.58605433717252,3.8983830065306924,0.014711504589911302,0.9947678731624475,-4692.230507347245,-4766.371067923498
7,7,6.6721105354664045,54668.87182468196,44.51862526439897,3.887668597042485,0.01467062356875222,0.9947757858936038,-4695.288299520629,-4782.2117153686495
7,8,6.678087225754751,54765.36481617348,44.5972026190338,3.892155820069245,0.014681361003585221,0.9947665649232328,-4703.520691698451,-4805.783533872593
7,9,8.596748154645942,90756.7794788548,73.90617221405118,4.980697223349035,0.016012205246103497,0.990373766210615,-5291.764427850576,-5312.216996285405
7,10,8.595026309896754,90719.47380743909,73.8757930028006,5.027948930566908,0.016159850980926354,0.990377723084325,-5297.285281155027,-5333.077275915977
8,1,8.540075123625362,89562.662885535,72.93376456476797,4.9538450416410145,0.015923041597385505,0.9905004217129928,-5277.539775692579,-5303.105486236113
8,2,8.640144882931514,91673.375880305,74.65258622174672,5.0611287916727,0.016248506011843498,0.9902765462420184,-5312.157991675495,-5353.063128545153
8,3,8.70783241469105,93118.31573227938,75.8292473389898,5.150733704445218,0.016543530473352816,0.9901232868501958,-5338.284439872312,-5397.085574122443
8,4,8.529981375708248,89350.52822718417,72.76101647164838,4.980473207395242,0.016011291214033437,0.990522922046608,-5275.642781286748,-5303.765062884637
8,5,8.623045763161624,91310.30607876158,74.3569267742358,5.029971016041463,0.016149401408750975,0.9903150557044695,-5306.300468804281,-5344.649034619584
8,6,8.550864075231447,89788.2695572951,73.11748335284615,4.984031780245328,0.01601652194857982,0.99047649245306,-5289.6519500450595,-5338.226800077777
8,7,8.67955911229925,92515.65177943809,75.3384786477509,5.119030380215538,0.01643893356030233,0.9901872091724707,-5332.616413935792,-5397.3828806460815
8,8,8.600857977598833,90841.93294520036,73.97551542768757,5.052532664718036,0.01623170820136639,0.9903647342993933,-5298.960389189353,-5334.752383950302
8,9,8.610824077376085,91056.48892176944,74.15023527831384,5.04480582541308,0.016204330939897343,0.9903419771455672,-5307.7517146777855,-5358.883135764856
8,10,8.689308417748988,92719.44897887656,75.50443727921544,5.155866787246787,0.016550991562369,0.9901655931620891,-5336.09547683012,-5402.566324243312
9,1,8.618151234461967,91208.60144241185,74.2741054091301,5.081748346815981,0.016323835518210088,0.9903258431366876,-5309.880094418024,-5361.011515505094
9,2,8.618459923685828,91217.66074371053,74.28148269031803,5.065693755735402,0.01626338321963974,0.9903248822503189,-5309.933949636002,-5361.065370723073
9,3,8.634880319193401,91562.00720521668,74.56189511825467,5.094193226448955,0.016363096828067962,0.9902883587028546,-5320.656863224855,-5387.127710638048
9,4,8.684299751657013,92613.2575286936,75.41796215691663,5.132170189123259,0.016483312187161713,0.99017685649395,-5334.67050884129,-5401.141356254481
9,5,8.65314860188129,91949.14915695862,74.8771572939402,5.106712061915053,0.01640132585434715,0.990247295997032,-5318.856618351287,-5367.431468384004
9,6,8.599894066494283,90823.78532087474,73.96073723198276,5.06995081538433,0.01629857371831237,0.9903666591503575,-5307.655223463898,-5366.45635771403
