P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
2,3,2,6.17275057745299,46790.299421095966,38.10284969144623,3.3830462921605964,0.014863236609839035,0.9964843196700369,-4488.274983346901,-4534.293262325265
2,4,0,6.169537495417621,46741.60089024291,38.06319290736392,3.3758504462457406,0.014829163164074085,0.9964879787290543,-4488.996236714096,-4540.127657801167
2,4,1,6.183371175825305,46951.44913237741,38.234079098027216,3.3913701737211874,0.014898464141340474,0.996472211372438,-4496.497051815796,-4552.741615011574
2,4,2,6.234660836415014,47733.58277501615,38.87099574512715,3.45204801668305,0.015168933160831802,0.9964134442370094,-4518.784988355987,-4580.142693660471
2,5,0,6.226899246088274,47614.80874330782,38.774274220934714,3.4501042952198806,0.015154351256732588,0.9964223685553436,-4517.725585170309,-4584.1964325835015
2,5,1,6.2292613915447905,47650.940510585984,38.803697484190536,3.453887201431564,0.015169978847229398,0.9964196537245971,-4520.657080753824,-4592.241070275723
2,5,2,6.2384082517476225,47790.981669000634,38.91773751547281,3.456491690340994,0.015178683430897262,0.9964091314592534,-4526.260752222723,-4602.957883853329
2,6,0,6.149974646028035,46445.64704425524,37.82218814678768,3.3763459659479094,0.014835153013000332,0.9965102157980148,-4475.1961878267875,-4510.988182587737
2,6,1,6.186451073448706,46998.23321376646,38.27217688417461,3.403582028593083,0.014938052955277782,0.996468696159312,-4491.720065140797,-4532.625202010453
2,6,2,6.189608720237461,47046.22250263744,38.311256109639615,3.39651334204131,0.014916195019396093,0.9964650903905732,-4494.973320346533,-4540.991599324897
2,7,2,6.156208956209498,46539.85989896723,37.898908712514036,3.391755854633287,0.014916106563547736,0.996503136931578,-4483.684606269162,-4534.816027356233
2,10,0,6.193115937802416,47099.553203408504,38.354685019062295,3.408521726012116,0.014987301378556292,0.9964610832844422,-4500.364569333769,-4556.609132529547
2,10,2,6.307830128631755,48860.54930409629,39.788720931674526,3.4708541400228046,0.0152332778129767,0.9963287674106621,-4547.440511536964,-4608.798216841448
3,1,0,6.128281377724016,46118.56248751841,37.555832644559,3.380735898444571,0.014869655996143372,0.9965347919335938,-4478.517638969384,-4544.988486382576
3,1,1,6.250707851900564,47979.61614196835,39.07134864981139,3.4623722875980247,0.015208910613570308,0.996394958040524,-4529.098216698341,-4600.682206220241
3,1,2,6.184548273560607,46969.32666334583,38.24863734800147,3.4371151064611407,0.015088603119187444,0.9964708681093097,-4504.964543871911,-4581.661675502517
3,2,0,6.2121473301877375,47389.4710270052,38.59077445195858,3.4468814861605432,0.01514535352357029,0.9964392997437866,-4517.9002637174035,-4599.710537456717
3,2,1,6.194352799374986,47118.368108637165,38.37000660312472,3.4042696620932555,0.014959360467592657,0.9964596695898721,-4494.855021757388,-4535.760158627045
3,2,2,6.2312228463862525,47680.95366210832,38.82813816132603,3.4578118248375462,0.015188075538099416,0.9964173986279691,-4517.430298397447,-4578.788003701931
3,3,0,6.224793805072038,47582.61512043445,38.74805791566325,3.456767975733191,0.015182209945270236,0.9964247874859358,-4516.895021300174,-4583.365868713367
3,3,1,6.25748226228102,48083.67147467123,39.15608426276161,3.4573243452829248,0.015189087826116473,0.9963871396403227,-4531.758546189549,-4603.342535711448
3,3,2,6.238323329302048,47789.68053600263,38.91667796091421,3.4503575897147107,0.015154704606039543,0.9964092292224167,-4526.227318863196,-4602.924450493802
3,4,0,6.194545396031734,47121.29819077549,38.37239266349796,3.4339093665851514,0.015077263189127988,0.9964594494324406,-4510.931383251615,-4592.741656990929
3,4,1,6.191859574936018,47080.44549475256,38.3391249957268,3.433782085182684,0.015078669625699787,0.9964625189793683,-4511.866283776839,-4598.789699624859
3,4,2,6.256719530112354,48071.950233984935,39.14653927848938,3.4743442977311587,0.015260046397697827,0.9963880203385835,-4521.459163098299,-4567.477442076663
3,5,0,6.260197911838097,48125.41565552919,39.190077895382075,3.4716375503593717,0.01524551042829679,0.9963840031099447,-4524.824180608073,-4575.955601695144
3,5,1,6.193345819327707,47103.04983359873,38.357532437784,3.4417518934317077,0.015112602705101641,0.9964608205583187,-4500.455731610335,-4556.700294806113
3,5,2,6.193771270201332,47109.52152841771,38.36280254757146,3.4298661038170923,0.01506193041475307,0.9964603342949168,-4502.624440332225,-4563.98214563671
3,6,0,6.225830009334711,47598.45802670289,38.76095930513259,3.440320921021229,0.015113952145341636,0.9964235970982993,-4517.303822933397,-4583.774670346589
3,6,1,6.174584667472851,46818.10886179112,38.12549581579081,3.420756591174628,0.015018026115287925,0.9964822301535164,-4499.004618532559,-4570.588608054459
